 ,,,,,,,,,,,,,,,
敏感词,Sensitive Word,https://chinadigitaltimes.net/2018/02/sensitive-words-emperor-xi-jinping-ascend-throne/,第一次测试日期/结果 Date/Result of Test 1,,第二次测试日期/结果 Date/Result of Test 2,,第三次测试日期/结果 Date/Result of Test 3,,第四次测试日期/结果 Date/Result of Test 4,,第五次测试日期/结果 Date/Result of Test 5,,第六次测试日期/结果 Date/Result of Test 6,,"“中国数字时代敏感词开源研究项目”是网站《中国数字时代》的一个研究项目，目前在更新新浪微博搜索敏感词列表。请网友参与，提供敏感词线索，共同构建和完善该敏感词列表。
"
一中一台,"one China, one Taiwan",--,2011-10-05,Y,,,,,,,,,,,
暴乱,riot,--,2011-10-05,Y,2012-06-27,Y,2012-10-19,Y,2013-06-30,Y,,,,,
五毛蛋,fifty-cent egg,--,2011-10-05,Y,,,,,,,,,,,
苏晓康,Su Xiaokang,--,2011-10-05,Y,,,,,,,,,,,
团派,Tuanpai (Communist Youth League faction),--,2011-10-05,Y,2012-03-22,Y,,,,,,,,,
5月35日,May 35th,--,2011-09-29,Y,,,,,,,,,,,
普京是你爹,Putin is your daddy,--,2011-09-29,Y,,,,,,,,,,,
特供,special supply (sounds like secret service),--,2011-09-29,Y,2012-01-25,N,,,,,,,,,
方滨兴,Fang Binxing,--,2011-09-22,Y,2012-01-22,N,,,,,,,,,
空椅子,empty chair,--,2011-09-22,Y,2012-01-25,N,,,,,,,,,
坦克人,Tank Man,--,2011-09-22,Y,,,,,,,,,,,
网监,Net inspector,--,2011-09-22,Y,,,,,,,,,,,
真理部,Ministry of Truth,--,2011-09-22,Y,,,,,,,,,,,
网管办,Internet Management Office,--,2011-09-22,Y,,,,,,,,,,,
国新办,State Council Information Office,--,2011-09-22,Y,2012-01-20,N,2012-05-26,Y,,,,,,,
中宣部,Central Propaganda Department,--,2011-09-22,Y,,,,,,,,,,,
共产,communist,--,2011-09-22,Y,,,,,,,,,,,
高行健,Gao Xingjian,--,2011-09-22,Y,,,,,,,,,,,
长平,Chang Ping,--,2011-09-22,Y,,,,,,,,,,,
唯色,Woeser,--,2011-09-22,Y,,,,,,,,,,,
滕彪,Teng Biao,--,2011-09-22,Y,,,,,,,,,,,
胡佳,Hu Jia,--,2011-09-22,Y,2012-01-12,Y,,,,,,,,,
炸弹,bomb,--,2011-09-22,Y,,,,,,,,,,,
炸药,explosive,--,2011-09-22,Y,,,,,,,,,,,
雷管,detonator,--,2011-09-22,Y,,,,,,,,,,,
汪洋,Wang Yang,--,2011-09-22,Y,2012-05-15,Y,,,,,,,,,
薄瓜瓜,Bo Guagua,--,2011-09-22,Y,2013-07-25,N,,,,,,,,,
发轮,falun[gong],--,2011-09-22,Y,,,,,,,,,,,
蒋彦永,Jiang Yanyong,--,2011-09-22,Y,,,,,,,,,,,
迟浩田,Chi Haotian,--,2011-09-22,Y,2011-11-02,Y,,,,,,,,,
北京当局,Beijing authorities,--,2011-09-22,Y,2012-01-25,Y,,,,,,,,,
